,Company name,Current price,Price to Earning,Market Capitalization,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Profit after tax latest quarter,Debt to equity,Return on equity,Earnings yield,Return over 3months,Return over 6months,Date,MarketCapCategory,Return_3m_norm,Return_6m_norm,Earnings_yield_norm,PE_norm,Debt_eq_norm,ROCE_norm,Profit_var_norm,Sales_var_norm,Score,Rank
0,Adani Power,584.0,18.56,225344.59,-15.53,14109.15,-5.66,22.54,3305.13,0.7,25.72,7.36,8.95,15.55,2025-08-04,Large Cap,0.7647706422018349,0.9198813056379822,0.7954239569313593,0.03867705343720103,0.032840722495894904,1.0,0.485968324534593,0.0,0.8532276384223942,1
1,NLC India,244.0,12.9,33825.26,311.11,3836.0,8.34,10.75,468.46,1.2,14.87,8.28,12.07,9.11,2025-08-04,Large Cap,0.8792660550458716,0.6468842729970326,0.9192462987886943,0.0,0.11494252873563218,0.33276740237691005,0.9901824580902102,0.16611295681063123,0.7834605780560775,2
2,CESC,163.8,15.75,21697.12,2.38,5202.0,6.97,10.88,387.0,1.5,11.67,8.88,0.63,17.44,2025-08-04,Large Cap,0.45944954128440374,1.0,1.0,0.019475194751947516,0.16420361247947454,0.34012450481041323,0.5136148930258405,0.14985761746559087,0.7349217024807441,3
3,JSW Energy,537.8,43.49,94022.55,42.43,5143.37,78.62,6.49,743.12,1.83,7.41,4.01,15.36,8.91,2025-08-04,Large Cap,1.0,0.6384061042814752,0.34454912516823677,0.20903375700423674,0.21839080459770116,0.09168081494057727,0.5754376215615449,1.0,0.6478082096599448,4
4,NTPC,332.0,13.44,321977.97,9.8,47065.36,-3.02,10.76,6010.6,1.36,13.59,8.24,-2.87,3.88,2025-08-04,Large Cap,0.3310091743119266,0.42518016108520557,0.9138627187079407,0.003690036900368998,0.14121510673234813,0.33333333333333337,0.5250686919205952,0.03132415757000475,0.6040163813036129,5
5,Tata Power Co.,387.1,30.01,123691.6,9.16,18035.07,4.29,10.81,1059.86,1.75,10.97,6.51,3.25,5.71,2025-08-04,Large Cap,0.5555963302752294,0.5027554048325561,0.6810228802153431,0.11691950252835862,0.20525451559934318,0.33616298811545,0.524080763174956,0.11805885144755576,0.5941864935818074,6
6,Power Grid Corpn,287.95,17.36,267856.87,-2.51,11196.22,1.73,12.89,3630.58,1.41,17.26,7.15,-6.39,0.96,2025-08-04,Large Cap,0.20183486238532114,0.30139889783806695,0.7671601615074024,0.030476971436381024,0.14942528735632182,0.4538766270514997,0.5060664999536908,0.08768391077361178,0.5610772369387487,7
7,NHPC Ltd,83.49,27.93,83966.87,56.95,2346.97,24.38,7.39,853.64,1.0,7.67,4.93,2.18,4.98,2025-08-04,Large Cap,0.5163302752293578,0.4718100890207715,0.4683714670255719,0.1027060270602706,0.08210180623973727,0.1426146010186757,0.5978512549782347,0.3564309444708116,0.5473657048612728,8
8,Torrent Power,1312.1,23.32,65864.09,146.27,6456.34,-1.11,15.95,1059.57,0.5,19.03,5.5,-10.27,-1.62,2025-08-04,Large Cap,0.059449541284403704,0.19203052140737598,0.5450874831763122,0.07120404537378706,0.0,0.6270514997170344,0.7357290605415084,0.05398671096345515,0.5440009785955541,9
9,Adani Energy Sol,799.55,40.08,96036.44,317.47,6819.28,26.79,10.23,512.48,1.83,12.84,4.62,-11.89,3.1,2025-08-04,Large Cap,0.0,0.3921153030945315,0.42664872139973076,0.18573185731857317,0.21839080459770116,0.3033389926428976,1.0,0.3850261034646417,0.5029051824275421,10
